x,y,seed,agent
52278,0.7432724400000001,1,PPO
52378,0.7627130800000002,1,PPO
52478,0.7635054800000001,1,PPO
52578,0.7792051600000001,1,PPO
52678,0.7720251000000001,1,PPO
52778,0.7820935200000001,1,PPO
52878,0.8053992800000002,1,PPO
52978,0.8123012000000001,1,PPO
53078,0.83764824,1,PPO
53178,0.82559642,1,PPO
53278,0.82005184,1,PPO
53378,0.8183358599999999,1,PPO
53478,0.7938793199999999,1,PPO
53578,0.8036716199999998,1,PPO
53678,0.8031137799999998,1,PPO
53778,0.8064961199999997,1,PPO
53878,0.7886213199999998,1,PPO
53978,0.8029041799999999,1,PPO
54078,0.7952604399999997,1,PPO
54178,0.7911782799999998,1,PPO
54278,0.8080910599999998,1,PPO
54378,0.7885741799999999,1,PPO
54478,0.7859313399999999,1,PPO
54578,0.7793531599999999,1,PPO
54678,0.7752720199999997,1,PPO
54778,0.7785132599999997,1,PPO
54878,0.7711317599999998,1,PPO
54978,0.78732118,1,PPO
55078,0.7986066999999999,1,PPO
55178,0.82771636,1,PPO
55278,0.81112048,1,PPO
55378,0.8129936400000002,1,PPO
55478,0.8292014600000001,1,PPO
55578,0.8410826200000001,1,PPO
55678,0.84491784,1,PPO
55778,0.86894742,1,PPO
55878,0.8577674000000001,1,PPO
55978,0.8523766200000001,1,PPO
56078,0.8509382000000002,1,PPO
56178,0.8545038000000001,1,PPO
56278,0.8699192400000002,1,PPO
56378,0.8727004400000001,1,PPO
56478,0.8941274400000001,1,PPO
56578,0.8932095200000001,1,PPO
56678,0.8986267600000002,1,PPO
56778,0.92717896,1,PPO
56878,0.92810118,1,PPO
56978,0.93868154,1,PPO
57078,0.94623012,1,PPO
57178,0.94878782,1,PPO
57278,0.953215,1,PPO
57378,0.9727481,1,PPO
57478,0.95887924,1,PPO
57578,0.9619196,1,PPO
57678,0.97199254,1,PPO
57778,0.99932532,1,PPO
57878,0.96595148,1,PPO
57978,0.96520546,1,PPO
58078,0.9586344,1,PPO
58178,0.9679825000000001,1,PPO
58278,0.97466372,1,PPO
58378,0.97648534,1,PPO
58478,0.98868608,1,PPO
58578,0.97186828,1,PPO
58678,0.98895256,1,PPO
58778,0.99769554,1,PPO
58878,1.02509916,1,PPO
58978,1.01589198,1,PPO
59078,1.02360766,1,PPO
59178,1.00988386,1,PPO
59278,1.01239668,1,PPO
59378,1.01808508,1,PPO
59478,1.0208713399999998,1,PPO
59578,1.03958584,1,PPO
59678,1.0543640799999998,1,PPO
59778,1.0580331799999998,1,PPO
59878,1.0440577999999996,1,PPO
59978,1.0389800799999998,1,PPO
60078,1.02719674,1,PPO
60178,1.02084788,1,PPO
60278,1.0057604400000002,1,PPO
60378,1.0020381400000002,1,PPO
60478,0.98300148,1,PPO
60578,0.9712519,1,PPO
60678,0.96368668,1,PPO
60778,0.9463501,1,PPO
60878,0.956694,1,PPO
60978,0.96818616,1,PPO
61078,0.98677114,1,PPO
61178,0.97457836,1,PPO
61278,0.94880254,1,PPO
61378,0.94992948,1,PPO
61478,0.95789872,1,PPO
61578,0.96051698,1,PPO
61678,0.9598408399999998,1,PPO
61778,0.94465548,1,PPO
61878,0.9490321999999998,1,PPO
61978,0.9471378599999998,1,PPO
62078,0.9358154799999998,1,PPO
62178,0.9342604599999996,1,PPO
62278,0.9349383799999996,1,PPO
62378,0.9341607799999998,1,PPO
62478,0.9470409399999996,1,PPO
62578,0.9508112399999998,1,PPO
62678,0.9603954199999998,1,PPO
62778,0.94186924,1,PPO
62878,0.97200592,1,PPO
62978,0.98253816,1,PPO
63078,0.96343466,1,PPO
63178,0.98029564,1,PPO
63278,0.98546538,1,PPO
63378,0.97480836,1,PPO
63478,0.9810747999999999,1,PPO
63578,0.9893191,1,PPO
63678,1.00732484,1,PPO
63778,1.0349908600000002,1,PPO
63878,1.0408688,1,PPO
63978,1.05325412,1,PPO
64078,1.05167896,1,PPO
64178,1.0541228,1,PPO
64278,1.0455219799999995,1,PPO
64378,1.0384857399999998,1,PPO
64478,1.0380215999999998,1,PPO
64578,1.0207485999999997,1,PPO
64678,1.0100367199999998,1,PPO
64778,1.0119330199999998,1,PPO
64878,1.0251947799999996,1,PPO
64978,1.02847564,1,PPO
65078,1.0289003799999998,1,PPO
65178,1.0361053399999998,1,PPO
65278,1.07088924,1,PPO
65378,1.082456,1,PPO
65478,1.0851773799999995,1,PPO
65578,1.10086588,1,PPO
65678,1.1226711,1,PPO
65778,1.1204971,1,PPO
65878,1.1183055999999998,1,PPO
65978,1.11522746,1,PPO
66078,1.09278318,1,PPO
66178,1.1013498799999997,1,PPO
66278,1.1096623,1,PPO
66378,1.11009988,1,PPO
66478,1.10601912,1,PPO
66578,1.12010106,1,PPO
66678,1.11528942,1,PPO
66778,1.13838664,1,PPO
66878,1.14225432,1,PPO
66978,1.13627864,1,PPO
67078,1.14828888,1,PPO
67178,1.16065116,1,PPO
67278,1.1864399999999995,1,PPO
67378,1.18775124,1,PPO
67478,1.1789664400000002,1,PPO
67578,1.19083616,1,PPO
67678,1.19025252,1,PPO
67778,1.18901886,1,PPO
67878,1.1836953,1,PPO
67978,1.1814011600000005,1,PPO
68078,1.2058438800000004,1,PPO
68178,1.20068,1,PPO
68278,1.21450366,1,PPO
68378,1.2396385,1,PPO
68478,1.25083146,1,PPO
68578,1.25697702,1,PPO
68678,1.2248464200000002,1,PPO
68778,1.1953298600000002,1,PPO
68878,1.16797008,1,PPO
68978,1.17245736,1,PPO
69078,1.19301208,1,PPO
69178,1.18927424,1,PPO
69278,1.1676187,1,PPO
69378,1.16971216,1,PPO
69478,1.18883748,1,PPO
69578,1.21269598,1,PPO
69678,1.21199178,1,PPO
69778,1.2099069400000002,1,PPO
69878,1.19641074,1,PPO
69978,1.2002392600000005,1,PPO
70078,1.1978385600000003,1,PPO
70178,1.18120544,1,PPO
70278,1.15567452,1,PPO
70378,1.14777406,1,PPO
70478,1.1426656999999998,1,PPO
70578,1.1130274399999998,1,PPO
70678,1.0845346199999994,1,PPO
70778,1.0963580599999996,1,PPO
70878,1.0992720799999998,1,PPO
70978,1.1022211599999998,1,PPO
71078,1.11103944,1,PPO
71178,1.1131984199999998,1,PPO
71278,1.1162664399999995,1,PPO
71378,1.1188543199999996,1,PPO
71478,1.13184904,1,PPO
71578,1.1239508399999998,1,PPO
71678,1.14381824,1,PPO
71778,1.11429966,1,PPO
71878,1.10336838,1,PPO
71978,1.1169491000000003,1,PPO
72078,1.1171673800000002,1,PPO
72178,1.1080606000000002,1,PPO
72278,1.0883282199999995,1,PPO
72378,1.0879613199999998,1,PPO
72478,1.1138495999999998,1,PPO
72578,1.11817998,1,PPO
72678,1.11875956,1,PPO
72778,1.11892072,1,PPO
72878,1.10095968,1,PPO
72978,1.09705266,1,PPO
73078,1.0791619199999998,1,PPO
73178,1.06625808,1,PPO
73278,1.0620116200000005,1,PPO
73378,1.0523828800000004,1,PPO
73478,1.05709304,1,PPO
73578,1.03947906,1,PPO
73678,1.06933214,1,PPO
73778,1.09558468,1,PPO
73878,1.10970294,1,PPO
73978,1.1180937400000002,1,PPO
74078,1.1000652600000005,1,PPO
74178,1.1032141600000005,1,PPO
74278,1.1145594800000005,1,PPO
74378,1.1159538600000003,1,PPO
74478,1.1029541000000005,1,PPO
74578,1.0843640200000002,1,PPO
74678,1.0872002200000002,1,PPO
74778,1.08822644,1,PPO
74878,1.0963412999999995,1,PPO
74978,1.0781473199999998,1,PPO
75078,1.07979652,1,PPO
75178,1.10003576,1,PPO
75278,1.1138127399999995,1,PPO
75378,1.12179324,1,PPO
75478,1.13496364,1,PPO
75578,1.15625248,1,PPO
75678,1.15732686,1,PPO
75778,1.1549318400000002,1,PPO
75878,1.15304776,1,PPO
75978,1.15402824,1,PPO
76078,1.15006118,1,PPO
76178,1.16873866,1,PPO
76278,1.18316908,1,PPO
76378,1.18418538,1,PPO
76478,1.18250248,1,PPO
76578,1.17079258,1,PPO
76678,1.1737693400000002,1,PPO
76778,1.1764603800000002,1,PPO
76878,1.2074459600000005,1,PPO
76978,1.2026950400000005,1,PPO
77078,1.2010753400000005,1,PPO
77178,1.1952961400000002,1,PPO
77278,1.1923862000000005,1,PPO
77378,1.20480602,1,PPO
77478,1.1872571400000005,1,PPO
77578,1.18465504,1,PPO
77678,1.19480498,1,PPO
77778,1.19578888,1,PPO
77878,1.18706958,1,PPO
77978,1.20247582,1,PPO
78078,1.20425042,1,PPO
78178,1.2036238200000002,1,PPO
78278,1.2057727600000003,1,PPO
78378,1.21706614,1,PPO
78478,1.2201361200000005,1,PPO
78578,1.2342112000000005,1,PPO
78678,1.20843994,1,PPO
78778,1.1935279000000003,1,PPO
78878,1.1935038400000002,1,PPO
78978,1.18223106,1,PPO
79078,1.1806523400000002,1,PPO
79178,1.1728436600000005,1,PPO
79278,1.1844370400000002,1,PPO
79378,1.1977574400000002,1,PPO
79478,1.1994053800000004,1,PPO
79578,1.1955978000000005,1,PPO
79678,1.1878213200000003,1,PPO
79778,1.2049339400000003,1,PPO
79878,1.2010946200000003,1,PPO
79978,1.2012132000000004,1,PPO
80078,1.2045985200000002,1,PPO
80178,1.18637376,1,PPO
80278,1.1928123799999997,1,PPO
80378,1.2007426199999998,1,PPO
80478,1.1871553999999995,1,PPO
80578,1.1766006399999995,1,PPO
80678,1.2063803799999997,1,PPO
80778,1.2084535799999996,1,PPO
80878,1.2091994599999998,1,PPO
80978,1.1990735999999995,1,PPO
81078,1.20456116,1,PPO
81178,1.19984228,1,PPO
81278,1.1844927200000002,1,PPO
81378,1.1691697200000002,1,PPO
81478,1.1644752800000002,1,PPO
81578,1.1696987400000003,1,PPO
81678,1.15073388,1,PPO
81778,1.15867654,1,PPO
81878,1.12894376,1,PPO
81978,1.1180664000000002,1,PPO
82078,1.11961882,1,PPO
82178,1.14198584,1,PPO
82278,1.14652032,1,PPO
82378,1.13794862,1,PPO
82478,1.13747868,1,PPO
